Entity,EntityIndex,Relation,RelationIndex
"['每一區都', '數種晶圓', '設備']","[3, 6, 10]","['包括', '製']","[4, 7]"
"['晶圓', '每區', '製程步驟', '設備規  格']","[0, 5, 10, 14]","['需要', '開出']","[7, 11]"
"['生產線', '系統上線、設備裝機、製程調整', '整合', '工作']","[2, 11, 13, 15]","['進行', '自動化']","[1, 3]"
"['一個積體電路', '百道的步驟']","[4, 12]","['製造', '要', '超過']","[5, 7, 8]"
"['晶圓製造商', '半年', '產品', '製程世代、設備商', '產品']","[1, 7, 9, 16, 18]","['提前', '規劃', '需要']","[4, 5, 11]"
"['是在進入', '加化的平坦度', '大量', '一', '製程', '商才能將', '人', '資源準備好']","[6, 14, 16, 19, 21, 26, 31, 36]","['為', '運用', '48']","[10, 17, 22]"
"['量測數據', '製程參數']","[2, 6]","['包括', '相關', '設定']","[0, 4, 7]"
"['設備', '製程步驟驗證']","[0, 8]","['負責', '協助', '完成']","[2, 3, 4]"
"['晶圓', '外']","[2, 4]","['了', '變大']","[1, 3]"
"['設備', '大多', '兩代製程', '/', '奈米、90', '65', '等']","[3, 5, 10, 13, 17, 19, 21]","['購買', '支援']","[1, 8]"
"['三、晶圓製程設備概述(一', '製程', '依據SEMI']","[7, 10, 15]",[],[]
"['晶片', '光學圖案', '蝕刻移除晶圓', '材料', '達到', '']","[2, 6, 13, 16, 18, 22]","['設計', '轉印', '表面', '設計']","[3, 7, 14, 20]"
"['表面處理', '處理完', '所', '', '利下', '製程的處理', '(Etch', '蝕刻', '化學', '結合', '研磨來', '金屬或', '緣層薄膜使', '熱', '氧化層']","[1, 8, 11, 13, 16, 21, 24, 29, 31, 33, 39, 44, 48, 52, 54]","['清洗', '表面', '上', '', '材料', '  道', '研磨', '', '表面', '更加']","[3, 6, 9, 10, 14, 18, 32, 42, 49, 50]"
"['製程', '困難', '時間成本']","[2, 5, 8]","['避免', '整合']","[1, 3]"
"['介電材質', '薄膜(', ')', '導電率', '鋁', '晶圓', 'IC', '所', '', '缺陷', '檢測', '晶圓', '', '可能產生的缺陷']","[3, 9, 12, 22, 26, 30, 33, 35, 37, 40, 43, 45, 49, 55]","['鋪', '金屬', '形成', '', '抽檢', '步驟']","[4, 23, 32, 40, 44, 48]"
"['設備的生產狀況', 'Metrology', '', '', '等(', ')', '製程', '結構晶圓', '次', ')處理與單', '(SingleWafer)多反應']","[4, 9, 14, 16, 20, 22, 24, 27, 35, 41, 48]","['確保', '良好', ')', '二']","[0, 5, 10, 21]"
"['製程', '批次式', '製程技術']","[0, 4, 9]","['都', '使用']","[1, 3]"
"['反應室', '晶圓片數']","[3, 9]","['批', '處理', '來', '少']","[1, 6, 11, 13]"
['  程條件的控制'],[5],"['製', '來', '複雜']","[1, 8, 10]"
"['更', '時間', '製程整  合的困難']","[0, 5, 12]","['增加', '產出', '生產', '減少']","[2, 3, 4, 7]"
"['圖', '】', '製程設備結構']","[1, 3, 8]",[],[]
"['各模組的運轉', '整合', '可靠度及精密度', '設備', '晶圓製造商', '標準']","[3, 5, 11, 15, 19, 21]","['具備', '高', '讓', '達到']","[7, 8, 14, 16]"
"['設備廠商', '系統機電整合', '製程技術', '力 62']","[2, 8, 12, 15]","['具備', '高', '特殊']","[4, 5, 10]"
"['原廠', '區域', '技術', '人力的素質', '量產穩定度63']","[2, 4, 6, 10, 15]","['需要', '化', '支援', '維護']","[1, 5, 7, 12]"
"['', '製程', '微米', '製程）設備', '都', '以', '晶圓增 為主64']","[1, 3, 8, 12, 14, 16, 22]",['指'],[6]
"['單價', '毛利的產業']","[3, 8]","['屬於', '高', '高']","[1, 2, 5]"
"['設備', '後']","[1, 3]","['到位', '進行', '改良']","[2, 5, 6]"
"['市場', '半導體', '市場預測的基礎']","[3, 5, 10]","['進行', '設備']","[4, 6]"
"['設備的品質要求', '其他產業']","[5, 9]","['遠', '來', '高']","[6, 10, 12]"
"['可靠度', ' 度']","[5, 7]","['具備', '高', '精密']","[2, 3, 6]"
"['設備商多數的八吋機台', '功能']","[6, 12]","['提供', '新', '改善']","[9, 10, 13]"
"['51', 'F', '半導體', '支出與設備', '趨勢']","[0, 8, 10, 14, 17]",[],[]
"['這點', '圖', '中', '199', '2007 年', '半導體設備幾  乎和半導體', '趨勢一樣']","[1, 3, 5, 7, 11, 18, 22]",['9'],[8]
"['後', '']","[0, 2]",[],[]
"['市場', '復', '年的水準']","[0, 4, 8]",['回'],[3]
"['半導體設備市場', '~', '間的每', '成長']","[3, 5, 9, 11]",[],[]
"['市場', ' 年']","[1, 7]",['達到'],[4]
"[' 年開始', '', '設備', '2005 年', '成為主流']","[3, 5, 8, 11, 15]","['發展', '']","[4, 5]"
"['半導體設備業者', '吋', '製造技術', '設備', '  組的過程', '極']","[2, 6, 9, 11, 15, 17]","['進', '研發', '和', '', '久']","[3, 4, 10, 14, 18]"
"['投資', '時間更長']","[1, 5]","['回收', '需']","[0, 3]"
"['設備售價', '倍']","[2, 8]","['增加', '不']","[4, 5]"
"['', '市場', '變小']","[2, 4, 7]",[],[]
"['設備商帶', '營']","[5, 10]","['沒有', '來', '更', '大', '和']","[2, 6, 7, 8, 12]"
"['要', '', '和和', '', '合作']","[2, 6, 10, 13, 16]","['新', '', '製程', '晶圓']","[5, 6, 7, 14]"
"['製程世代開發', '大量', '研發']","[4, 8, 11]","['新', '需要']","[0, 6]"
"['晶圓製造商', '技術', '風險']","[2, 8, 13]","['全球化', '聯盟', '合作', '降低']","[6, 9, 10, 12]"
"['同時', '此一優勢', '各晶圓製造商的設備供應鏈']","[0, 4, 11]","['利用', '切入']","[1, 5]"
"['預期', '', '只要', '']","[2, 6, 8, 11]","[' 來', '大幅']","[5, 10]"
"['~', '國際', '和台灣', '大舉']","[4, 6, 9, 14]",[],[]
"['其結果', '年', '開始市場', '崩跌']","[1, 4, 7, 9]","['導致', '價格']","[2, 8]"
"['廠商', '年', '資本']","[0, 4, 6]",['支出'],[7]
"['年', '設備市66記憶', '最', '技術']","[3, 9, 14, 17]",['降低'],[20]
"['其資本', '在', '研發', '量產']","[1, 4, 11, 13]","['新', '製程']","[7, 9]"
"['產能', '率以', '導致']","[5, 8, 14]","['維持', '高', '利用', '設備', '而', '閒置']","[3, 4, 6, 12, 13, 16]"
"['成本', '攤提']","[1, 4]","['增加', '折舊']","[0, 3]"
"['設備', '一直占', '支出', '%']","[4, 8, 10, 14]",['70'],[12]
"['表', '】', '~', 'F', '25大', '支出', '產品']","[1, 3, 5, 7, 11, 13, 16]","['製造', '類別']","[15, 17]"
"['資料來源', '/', ')', '整理製造類別', '支出', 'US$M', '資本', '成長率 ', '13', '整合', '38', '32%', '%晶圓', '5,6375,80012%12%-', 'Total', '100', '%-', '54【', '2006~', '25', '支出', '晶圓', '統計']","[1, 6, 9, 14, 23, 25, 36, 39, 48, 50, 54, 57, 61, 69, 72, 75, 79, 83, 88, 93, 96, 99, 102]","['(', 'US$M', ')', '元件']","[18, 19, 26, 51]"
"['資料來源', '', ' 記 憶 體', '元件晶 ', '工', '銷', '排', '2007資 本 支', ' 名', ' 成 長', 'F', '長 率21', '6,8458,330', '%7,800', '6', '1', 'Intel5,7664,900-15', '5,000', '5', 'H ynix4,3804,6005%', '-', '4', '3,000', '20%', '-', '45', '3,052', '-', '3', '7', '2,4182,600', '%2,250-', '%', '7', '2,475', '%', '-11', '-', 'chip2,610', '-', '%', '%', '9', '1,5801,875', '%', '9%', '10', '950', '800', '57', '11 A M D', '1,700', '8%', '-', '%', 'S anD isk', '1,375', '%1,450', '%', 'Elp', '8%', '9', 'S ony', '1,085-', '%', '17%', '1,000', '20', '6', '1,533960', '37', '-9', '18', 'F ujitsu', '-', '%', '-6', '17', '775750', '775', '19', '554', '35%', '-', '320', '1,', '700', '%', '0', '21 S M IC', '700', '%650', '8', '680', '1', '6800', '14', ' N E C910', '-', '%', 'N XP', '570', '%', '-', '-25', '620', '-', '-', '%', '48,7654', '43,465', '% 單', '美', '【', '20】', '~', '設備占', '資本', '比例']","[1, 4, 10, 15, 18, 20, 22, 27, 30, 37, 40, 46, 49, 52, 54, 56, 62, 64, 67, 73, 75, 79, 81, 84, 86, 90, 92, 94, 98, 100, 104, 108, 110, 112, 116, 118, 121, 123, 127, 129, 131, 135, 137, 140, 142, 146, 148, 150, 154, 156, 160, 162, 165, 167, 169, 172, 174, 177, 179, 183, 187, 192, 194, 197, 199, 203, 207, 212, 214, 218, 220, 224, 226, 228, 231, 233, 236, 238, 242, 246, 250, 252, 255, 257, 261, 263, 265, 268, 270, 274, 276, 280, 284, 288, 290, 293, 295, 298, 300, 302, 309, 311, 313, 315, 319, 321, 323, 327, 329, 333, 335, 339, 344, 346, 349, 351, 355, 357, 359]","['代 ', '司', '2007']","[17, 32, 34]"
"['資料來源', '', '整理55', '', '~', '成長率']","[1, 3, 7, 9, 19, 27]",['   三'],[8]
"[' 年', '64', '美元']","[3, 5, 7]",[],[]
"['市場', '億', '元']","[0, 4, 7]",['成長'],[1]
"['2008', '市場', '應', '衰退']","[2, 5, 7, 14]","['該', '']","[8, 13]"
"['設備', '金額', '106.5']","[5, 7, 9]","['達到', '億']","[8, 10]"
"['聯  電', '晶圓', '資本支出']","[3, 5, 9]","['代工', '趨於', '平穩']","[6, 11, 12]"
"['市場', '來看']","[5, 8]",[],[]
['其營收'],[2],"['成長', '倚賴']","[3, 5]"
"['雙方', ' Hynix ', ' 年', '和 Elpida']","[0, 4, 8, 11]",[],[]
"['設備', '是要有', '']","[4, 11, 13]",[],[]
"['這代表', '台積', '聯電', '設備', '其', '選擇上', '和', '協商才能']","[1, 4, 6, 8, 11, 14, 16, 21]",['必須'],[15]
"['產品', '問題']","[1, 3]",['沒'],[2]
"['表', '】', '~', '台灣', '支出分']","[1, 3, 5, 7, 11]",['類表'],[12]
"['資料來源', '', '研究整理製造', '(', '資本', '(', '2007', '支出', '37', '整合元件', '0', '0', '3,418', '41%35%5%Total', '100', '%', '台灣半導體', '雖然已經', '成為全球']","[1, 3, 7, 12, 16, 18, 29, 31, 41, 44, 49, 51, 55, 63, 66, 69, 73, 77, 81]","['支出', 'US$M', '成長', '%']","[11, 19, 32, 52]"
"[' 年', '也僅僅', '4']","[2, 5, 9]",['/'],[8]
"['設備', ' 單']","[6, 8]","['等於', '獲得', '擴產', '訂']","[1, 3, 4, 7]"
"['台積電', '聯電', '技術', '自己研發']","[2, 4, 7, 10]","['了', '主要']","[1, 5]"
"['設備', '較', '外']","[2, 6, 9]","['選', '上', '自主權']","[3, 5, 8]"
"['設備', '除', '信任']","[1, 3, 13]","['要', '取得', '台灣']","[5, 8, 9]"
"['表', '】', '~', '台灣', '占全球', '比例']","[1, 3, 5, 7, 11, 13]",['市場'],[12]
"['資料來源', '', '研究整理1999', '2006', '占', '設備', '比', '12.2', '13.5', '8.6', '%', '21.0', '%25.4', '  四', '前', '大晶圓', '供應商從', '20可以', '主要', '設備商都', '美國公司']","[1, 3, 7, 14, 17, 20, 22, 24, 26, 28, 31, 34, 40, 44, 46, 49, 53, 56, 59, 62, 65]",['18.1'],[38]
"['前十', '廠商', '年', '了', '60%的比例']","[1, 3, 6, 8, 15]","['大', '市場', '近']","[2, 9, 10]"
"['年', '增加到']","[2, 4]","['62', '%']","[5, 6]"
"['~', '廠商的十', '排名', '沒有', '特別變化']","[2, 6, 8, 10, 14]","['幾乎', '麼']","[9, 12]"
"['前十', '設備', '應商中']","[2, 4, 7]","['大', '供']","[3, 5]"
"['晶圓製造商', '半導體設備商的製程技術', '產品', '並加以']","[1, 8, 10, 20]","['倚賴', '支援', '能夠', '新', '世代', '製程']","[3, 11, 13, 16, 17, 18]"
"['', '製程', '廠商']","[3, 5, 9]","['輕易', '更換', '驗證']","[2, 4, 6]"
"['製程', '技術']","[3, 8]","['新', '有', '採用', '新']","[2, 4, 6, 7]"
"['此', '廠商', '設備', '生產', 'Uptime', '(Productivity)']","[1, 3, 5, 7, 10, 17]","['提高', '可', '(']","[4, 6, 9]"
"['同時', '其', '製程', '智慧財產的']","[0, 2, 4, 10]","['佈局', '先進']","[1, 3]"
"['動能', '營運績效']","[4, 7]","['有', '新', '維持']","[1, 2, 5]"
"['製程技術', '半導體製程技術']","[5, 13]","['沒有', '新', '取']","[1, 2, 7]"
"['68', '', '後', '運轉', '']","[0, 3, 8, 10, 12]","['是', '當機', '實際', '生產', '', '時間']","[4, 7, 9, 11, 12, 13]"
"['數字', '代表機台']","[0, 4]","['高', '穩定']","[2, 6]"
"['資料來源', '', '整理2007', '排名2005', '製程類別', '2007 市', '2006', 'US$M2006 市占率', '~', '1', 'Applied', 'rials', '前段', '6,78815.0', '%', '  2  Tokyo Electron', '前段', '11.9', '4,482', '%19.6%333  ASML', '前段', '45', '  美國', '2,3265.1', '2,056', '13.1%', '7  Lam Research  ', '製程', '%', '76', '日本', '1,8064.0', '1,528', '18.2%', '4Advantest', '測試1,6083.6%1,79', '%-', '%8', '8', '前段製程', '2.7', '3.3%', '%9', '  Dainippon Screen日本前段製程1,196', '9882.3', '%', '13  ASM Internation  ', '前段', '2.3%', '2.2%', 'Others', '%', '%', '45,279100', '42,740', '【表', '】', '晶圓製程', '資料來源', '研究整理   公司創立微影擴散', '蝕刻', '1968v  v  v         TEL  ', '     v  v  v  v   KLA', '  1980           v      Nikon  1917', '1988', '        v         Dainippon Screen   1943', '第三節', '設備', '分析', '材料']","[1, 3, 7, 11, 17, 22, 25, 31, 33, 38, 40, 42, 44, 47, 53, 56, 58, 61, 63, 71, 74, 86, 88, 92, 94, 98, 102, 105, 108, 116, 118, 122, 124, 128, 132, 139, 142, 145, 147, 151, 153, 157, 161, 168, 172, 175, 179, 181, 185, 189, 192, 195, 198, 204, 206, 210, 212, 216, 220, 227, 229, 235, 237, 241, 243, 247, 251, 254, 257, 261]","['  公司', '2007', '占', '成 ', 'Mat', '日本', '%']","[13, 18, 23, 35, 41, 57, 173]"
"['核心半導體產業的差異', '轉向', '（IP']","[4, 8, 14]","['製造', '設計']","[7, 9]"
"['幾年', '可能出現']","[4, 8]","['抵禦', '來', '暴雨式']","[1, 3, 9]"
"['壹、產業競爭分析', '市場', '可以看出', '是', '成熟']","[4, 8, 11, 14, 18]","['從', '已經', '產業']","[5, 13, 19]"
"['本節', '波特的五', '了解', '競爭環境']","[1, 5, 10, 14]","['利用', '力', '整體', '產業']","[2, 6, 11, 12]"
"['', '強度', '製程', '產業已然是少數', '市場']","[1, 5, 7, 13, 18]",[''],[4]
"['產品', '了製程技術外']","[3, 8]",['確定'],[2]
"['規格制定與製程', '驗證、導入']","[7, 11]","['新', '製']","[0, 1]"
"['晶圓製造商研發部門評估', '技術', '設備的時機70']","[4, 6, 11]",['新'],[5]
"['設備', '支援人', '對方', '~', '年', '評估']","[3, 6, 9, 11, 13, 15]","['盡量', '提供', '相關', '力', '給']","[1, 2, 5, 7, 8]"
"['競爭對手', '產品', '問題']","[4, 6, 8]","['了', '利用', '出現', '大']","[1, 2, 5, 7]"
"['設備商', '~', '年', '研究合作才', '供應鏈']","[2, 5, 7, 11, 16]","['新', '利用', '能']","[0, 3, 12]"
"['這個機會', '研發部門', '技術', '部門後']","[2, 7, 9, 13]","['利用', '轉移到', '製造']","[5, 10, 11]"
"['同時', '條件', '工廠', '部門', '72']","[0, 4, 6, 8, 10]","['利用', '提供', '優惠', '製造', '切入']","[1, 2, 3, 7, 9]"
"['圖', '是', '', '量產時程規劃73']","[0, 2, 6, 13]",['製造商'],[8]
"['產業', '率']","[0, 2]","['成長', '低']","[1, 3]"
"['圖', '】', '技術驗證', '和', '周期']","[1, 3, 6, 8, 11]","['產', '量產']","[7, 10]"
"['部門', '設備的產出效率', '', '生產', '(Cost of Ownership and Cost of ', '評估']","[1, 8, 12, 16, 19, 26]","['製造', '特別', '和', '次']","[0, 3, 15, 25]"
"['這', ' 不', '物料零件']","[0, 2, 6]","['包括', '相關']","[3, 4]"
"['(', ')技術', '晶圓', '設備是整合了基礎科學(物理', '', ')、機械、電子、自動化', '軟體與系統', '技術', '才', '達到量產']","[1, 4, 6, 16, 18, 26, 31, 36, 38, 41]","['化學', '', '等']","[17, 18, 33]"
"['產品', '時', '有', '', '量產', '時程接軌']","[0, 2, 5, 8, 12, 15]","['上市', '將']","[1, 7]"
"['大量', '技術 人力', '以', '製造商研發和', '長達', '年半所']","[4, 8, 10, 15, 17, 21]","['高', '晶圓', '一', '資源']","[5, 12, 18, 23]"
"['每個生產設備', '一個月', '技術人力', '裝機、維護', '調整']","[3, 12, 15, 20, 22]","['規劃', '超過', '高', '來', '支援']","[7, 8, 13, 16, 17]"
"['客戶', '一', '', '超過400', '製程', '個月', '整合']","[4, 8, 11, 16, 20, 26, 28]","['本', '個', '新', ' 道', '和']","[7, 9, 10, 17, 22]"
['製程程式'],[6],"['確定', '新', '使用']","[2, 3, 11]"
"['廠商的產品', '技術', '問題']","[3, 8, 12]","['支援', '新', '出現', '重大']","[5, 6, 10, 11]"
"['一個晶圓製造商', '', '和', '上市', '去', '']","[4, 8, 10, 12, 14, 17]","['沒有', '花大', '量人力', '風險', '新', '']","[0, 6, 7, 13, 16, 17]"
"['', '業者更', '']","[4, 7, 14]","['合作', '不同', '難以', '雙方', '新', '設備']","[3, 5, 8, 10, 12, 13]"
"['客戶裝機基礎', '客戶', '設備', '因素']","[3, 8, 11, 15]","['選擇', '重要']","[10, 13]"
"['技  術', '廠商', '', '', '']","[3, 5, 8, 10, 12]","['擁有', '領導']","[1, 4]"
['製程世代'],[3],"['新', '發展']","[1, 4]"
"['便', '晶圓製程設備商', '其', '設備雛型', '技術']","[0, 6, 8, 11, 13]","['要求', '提供', '新', '合作']","[3, 7, 9, 14]"
"['市場', '地位', '利潤75']","[2, 4, 10]","['取得', '領先', '獲得', '高']","[1, 3, 6, 8]"
"['能力主導技術規格', '製程', '者']","[5, 11, 15]","['有', '能']","[1, 13]"
"['客戶的議價', '於', '製程', '和', '複雜']","[2, 5, 9, 11, 14]","['廠商', '製程']","[6, 12]"
"['客戶', '應商策略', '採購', '76']","[0, 8, 10, 13]","['利用', '供', '合約']","[4, 6, 11]"
"['產品', '空間']","[0, 4]","['強', '少']","[2, 6]"
"['設備商', '商業模式']","[0, 6]","['運用', '不同', '因應']","[3, 4, 8]"
['議價空間'],[5],"['提供', '大']","[0, 2]"
"['晶圓製程設備商', '零件', '代工', '後', '組裝', '測試']","[2, 7, 9, 11, 17, 19]","['相關', '委外', '製造', '自行', '整']","[6, 8, 10, 13, 14]"
"['驗證期', '~', '個']","[0, 4, 6]","['同樣', '長達']","[1, 2]"
"['晶圓', '本的生產', '成本', '控制交期、品質']","[1, 8, 11, 16]","['希望', '降低']","[3, 10]"
"['外', '轉換程本', '客戶']","[2, 8, 11]","['了差異化', '利用', '高', '維持']","[1, 5, 6, 10]"
"['市場', '移動後']","[1, 6]",[],[]
"['成本', '服務效  率']","[7, 11]","['在地化', '生產', '降低', '製造']","[2, 3, 5, 6]"
"['這', '廠商', '零件', '低', '成本']","[0, 11, 14, 20, 23]","['什', '麼', '想', '要求', '相關', '製造', '降', '生產']","[4, 5, 8, 9, 10, 17, 19, 21]"
"['版圖', '結果']","[2, 5]","['製造', '移動']","[1, 3]"
"['技術', '這塊市場']","[2, 12]","['成熟', '發展']","[6, 9]"
"['技術', '', '幾年', '政府', '企業的努力']","[1, 3, 7, 9, 13]","['位於', '下游', '經過', '來']","[0, 2, 5, 8]"
"['64', '台灣', '製程', '概況']","[0, 4, 6, 10]",[],[]
"['設備', '採用']","[4, 6]",['獲得'],[5]
"['圖', '】', '設備廠商現況']","[1, 3, 8]",[],[]
"['利率', '成長性', '圖', ')']","[2, 4, 10, 12]","['淨', '不甚理', '想', '參照']","[1, 6, 7, 9]"
"['晶圓設備廠商', '營收', '%以上開發', '後續改', '22']","[3, 8, 12, 18, 22]","['投入', '超過', '新', '和', '參照表']","[6, 7, 13, 16, 21]"
"['產品週期', '78']","[1, 7]","['短', '回收', '把握']","[2, 5, 6]"
"['圖', '】', '~', '主要', '設備廠商營運績效']","[1, 3, 5, 7, 13]",[],[]
"['66', '2003', '2008', '晶圓', '設備商', '占營收比重']","[0, 5, 7, 9, 11, 17]",[],[]
"['資料來源', '研究', '(', '940', '   AMAT', '21', '%', '13', '432', '424', 'R&D', '%', '7', '%', '160170', '285   Lam ', '%21', '18%', '%14', '$', '247', '   NVLS R&D', '%', '18', '%', '所謂', '晶圓']","[1, 3, 6, 19, 22, 25, 28, 31, 37, 40, 43, 46, 49, 54, 58, 62, 65, 68, 71, 77, 80, 83, 86, 89, 94, 98, 101]",['$'],[7]
"['薄膜', '一層東西', '晶圓上', '離子', '磷、硼', '其電性', '', '顯影、蝕刻', '步驟', '產品', '幾百道程序']","[2, 9, 12, 15, 21, 25, 27, 31, 33, 37, 41]","['經過', '像', '沉積', '想像', '成長', '值入', '用', '調整', '曝光', '正常']","[0, 1, 3, 5, 6, 16, 18, 23, 28, 35]"
"['產品', '範圍', '化學、物理、電機、材料', '等']","[3, 6, 14, 16]",[],[]
"['蝕刻', '(', '希臘文的epi', '在上', '(有秩序的排列']","[4, 8, 17, 20, 28]","['磊晶', '源自於', ')']","[11, 14, 29]"
"['氣相磊晶', '目前', '矽元件', '']","[1, 4, 7, 10]","['成長', '成長', '主要']","[2, 5, 9]"
['法'],[4],"['進行', '配製']","[6, 7]"
"['磊晶', '情形下']","[4, 12]","['束', '成長', '超高', '真空']","[3, 5, 8, 9]"
"['（', '主要是', '摻質', 'doping', '半導體', '中']","[1, 8, 12, 14, 18, 20]",['晶片'],[19]
"['蝕刻', '即', '', '', '作用或', '反應', '去', '上某特定區 域', '薄膜']","[0, 6, 10, 12, 15, 18, 20, 26, 29]","['蝕刻', '經由', '', '']","[5, 8, 10, 12]"
['下一步'],[4],"['進行', '加工']","[1, 5]"
"['兩者的差別', '蝕刻', '液態溶液', '氣體']","[4, 7, 10, 12]","['取決', '劑為']","[5, 8]"
"['我們', '', '鋁、銅、鎢這類的金  屬材料']","[0, 4, 16]",['使用'],[3]
"['各種', '材料的引進', '複雜性']","[2, 6, 10]","['新', '增加']","[3, 8]"
"['我們', '金屬連線製程上']","[1, 6]","['使得', '引進']","[0, 8]"
"['半導體製造商', '電晶體結構、尺寸、薄膜厚度', '關鍵參數']","[2, 11, 14]","['使得', '進行', '量測']","[0, 15, 16]"
"['半導體', '業界', '各種', '結構、奈米級薄膜厚度', '量測需求', '', '技術']","[0, 2, 6, 15, 18, 21, 23]","['設備', '推出', '高深', '寬', '發展出', '新']","[1, 4, 8, 9, 20, 22]"
"['製程挑戰', '控制', '更添', '    VLSI Research']","[2, 5, 8, 10]","['先進', '多', '為', '良率', '進程']","[0, 3, 6, 7, 9]"
"['微影', '沉積', '蝕刻', '設備外']","[1, 6, 11, 16]",[],[]
"['製程控制', '設備', '銷售金額', '第四', '設備類型']","[1, 5, 9, 11, 15]","['排名', '高']","[10, 12]"
"['半導體', '業者']","[2, 4]","['製造', '而言']","[3, 5]"
"['製程控制上', '報酬率']","[3, 7]","['進行', '投資']","[4, 5]"
"['帶來', '製程', '必須更', '總監', '認為']","[2, 5, 8, 13, 15]","['材料', '新', '挑戰', ' Berry Tseng 則']","[1, 3, 4, 14]"
"['製程', '許多', '材料']","[2, 4, 6]","['進', '採用', '新']","[1, 3, 5]"
"['製程', '反應速度', '以往']","[0, 4, 7]","['控制', '即時']","[1, 9]"
['晶圓表面結構'],[8],"['複雜', '進行', '量測']","[4, 9, 10]"
"['晶圓', '前、加工中與加工後']","[1, 9]",['加工'],[2]
['晶圓質量'],[2],"['進行', '量測']","[4, 5]"
"['我們', '秤重', '物體的質量']","[1, 4, 9]",['得知'],[6]
"['晶圓', '環境的溫度、氣壓', '大氣浮力的變化']","[0, 7, 14]","['處', '引起']","[2, 10]"
"['過去幾個', '產品', '案例']","[3, 7, 9]","['重大', '召回', '看']","[5, 8, 11]"
"['晶片', '覆晶封裝']","[2, 5]","['多', '改用']","[1, 3]"
"['半導體', '檢測、量測', '問題']","[1, 5, 7]","['先進', '相關']","[2, 6]"
"['研究單位', '角度的觀點']","[3, 7]","['提供', '來自', '不同']","[0, 1, 4]"
"['矽晶圓製造業資源', '應用技術手冊', '：經濟部工業局', '96 年8 月', '體 ', ' 造', 'IC設', '', '圓 ', ' 造', ' 封 裝', '試', ' 段']","[2, 6, 12, 18, 21, 23, 26, 28, 31, 34, 38, 40, 43]","['化', ' 計', '製', 'IC']","[3, 27, 32, 39]"
"[' 晶 圓製 造 ', '各類廢', '實 ', '執 ', '彙整 成「廢 棄 物', ' 源', ' 案']","[6, 10, 16, 18, 28, 30, 32]","['將', '業 ', ' 物', ' 化', '行 ', ' 資', ' 化']","[1, 7, 12, 14, 19, 29, 31]"
"['並', '為', ' 研 究 單 位及 相 關', '程 業 界 研 究 開 發 之參 考']","[0, 2, 10, 20]",[],[]
